307,1483,Summer,1960,Gymnastics Men's Team All-Around,Gold
308,1483,Summer,1960,Gymnastics Men's Floor Exercise,Gold
309,1485,Summer,1992,Gymnastics Men's Team All-Around,Bronze
310,1487,Summer,2004,Baseball Men's Baseball,Bronze
311,1489,Summer,1956,Rowing Men's Coxed Eights,Bronze
312,1498,Summer,1996,Sailing Mixed One Person Dinghy,Silver
313,1498,Summer,2000,Sailing Mixed One Person Dinghy,Gold
314,1498,Summer,2004,Sailing Men's One Person Dinghy,Gold
315,1498,Summer,2008,Sailing Mixed One Person Dinghy,Gold
316,1498,Summer,2012,Sailing Men's One Person Heavyweight Dinghy,Gold
317,1500,Summer,2000,Baseball Men's Baseball,Gold
318,1503,Summer,1920,Athletics Men's 4 x 400 metres Relay,Gold
319,1512,Summer,1968,Sailing Mixed 5.5 metres,Bronze
320,1530,Summer,1936,Basketball Men's Basketball,Silver
321,1531,Summer,1912,"Tennis Mixed Doubles, Covered Courts",Silver
322,1534,Summer,1992,"Cycling Men's Team Pursuit, 4,000 metres",Silver
323,1534,Summer,1996,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
324,1534,Summer,2000,Cycling Men's Madison,Gold
325,1538,Summer,1900,Rugby Men's Rugby,Gold
326,1540,Summer,2008,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
327,1546,Summer,2000,Rhythmic Gymnastics Women's Group,Bronze
328,1551,Summer,2016,Football Men's Football,Bronze
329,1554,Summer,1992,Baseball Men's Baseball,Gold
330,1554,Summer,1996,Baseball Men's Baseball,Gold
331,1554,Summer,2000,Baseball Men's Baseball,Silver
332,1556,Summer,2008,Football Men's Football,Silver
333,1561,Summer,2016,Athletics Men's 4 x 100 metres Relay,Bronze
334,1564,Summer,1996,Athletics Women's Long Jump,Gold
335,1569,Summer,1984,Athletics Men's 4 x 400 metres Relay,Silver
336,1569,Summer,1992,Athletics Men's 400 metres Hurdles,Bronze
337,1569,Summer,1992,Athletics Men's 4 x 400 metres Relay,Bronze
338,1574,Summer,1984,"Wrestling Men's Featherweight, Freestyle",Silver
339,1574,Summer,1992,"Wrestling Men's Lightweight, Freestyle",Bronze
340,1579,Summer,1948,"Wrestling Men's Bantamweight, Freestyle",Gold
341,1581,Winter,1992,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze
342,1595,Summer,1956,"Wrestling Men's Flyweight, Freestyle",Bronze
343,1595,Summer,1964,"Wrestling Men's Bantamweight, Freestyle",Silver
344,1601,Summer,1972,"Wrestling Men's Featherweight, Freestyle",Silver
345,1618,Summer,1948,"Canoeing Men's Kayak Doubles, 10,000 metres",Gold
